china_silk_road_favored_status;Request Trade Contract;Demander un contrat commercial;Handelsvertrag anfordern;;Solicitar contrato comercial;;;;;;;;;x;;;;
force_open_china_start_tt;You will choose a method to open the §Y[offmap_china.GetFullName]§!: Defeating them in §Ywar§!, controlling a §Ystarting point§! of the Silk Road and §Y25%§! of its wealth or by §Ynegotiating§! a treaty.;Vous choisirez une méthode pour ouvrir l'§Y[offmap_china.GetFullName]§!: En les détruisant dans une §Yguerre§!, en contrôlant un §Ypoint de départ§! de la route de la soie et §Y25%§! de sa richesse ou par §Ynégociation d'un traité§!.;Ihr wählt eine Methode aus, um §Y[offmap_china.GetFullName]§! zu öffnen: Sie in einem §YKrieg§! besiegen, den §YAnfangspunkt§! der Seidenstraße und §Y25%§! seines Reichtums kontrollieren oder durch das §YVerhandeln§! eines Vertrags.;;Elige un método para abrir el §Y[offmap_china.GetFullName]§!: derrotarlos en una §Yguerra§!, controlar un §Ypunto de inicio§! de la Ruta de la Seda y el §Y25%§! de sus riquezas o §Ynegociando§! un tratado.;;;;;;;;;x;;;;
force_open_china_silk_road_conditions_tt;This option is available as you control a §Ystarting point§! of the Silk Road and §Y25% of the wealth§! along it.;Cette option est disponible lorsque vous contrôlez un §Ypoint de départ§! de la Route de la Soie et §Y25% de la richesse§!.;Diese Option ist verfügbar, da Ihr den §YAnfangspunkt§! der Seidenstraße und §Y25% seines Reichtums§! besitzt.;;Esta opción está disponible ya que controlas un §Ypunto de inicio§! de la Ruta de la Seda y el §Y25% de las riquezas§! que pasan por ellas.;;;;;;;;;x;;;;
force_open_china_silk_road_tt;You will force open trade along the Silk Road much to the anger of §Y[offmap_china.GetFullName]§!.;Vous imposerez le commerce ouvert le long de la route de la soie, à la grande colère de l'§Y[offmap_china.GetFullName]§!.;Ihr werde, zum Ärgernis von §Y[offmap_china.GetFullName]§!, den Handel auf der Seidenstraße zwangsöffnen.;;Obligarás a abrir el comercio en la Ruta de la Seda para rabia de §Y[offmap_china.GetFullName]§!.;;;;;;;;;x;;;;
force_open_china_negotiate_tt;You will negotiate a deal with §Y[offmap_china.GetFullName]§! to open up trade along the Silk Road.;Vous négocierez un accord avec l'§Y[offmap_china.GetFullName]§! pour ouvrir la route de la soie au commerce.;Ihr verhandelt einen Vertrag mit §Y[offmap_china.GetFullName]§! aus, um den Handel auf der Seidenstraße wieder zu öffnen.;;Negociarás un acuerdo con §Y[offmap_china.GetFullName]§! para abrir el comercio en la Ruta de la Seda.;;;;;;;;;x;;;;
EVTDESC_JD_60302;After [offmap_china.Ruler.GetLongChineseEmperorName], ordered that the borders be shut and trade along the Silk Road be halted, [From.GetTitledName] deemed that unacceptable and mobilized [From.GetHerHis] forces to open the Silk Road by force. The [From.Culture.GetName] troops managed to overcome and defeat the forces of [offmap_china.GetShortName] led by [offmap_china.Governor.GetTitledFirstName].\nThe Archon is most displeased with this loss and, under pressure by his advisors, has had no choice but to once more open up the Silk Road to traders.;Après que [offmap_china.Ruler.GetLongChineseEmperorName], a ordonné que les frontières soient fermées et que le commerce sur la Route de la Soie soit stoppé, [From.GetTitledName] a trouvé ceci inacceptable et mobilisé ses troupes pour ouvrir la route de la soie par la force. Les troupes [From.Culture.GetName]s ont réussi à surmonter et à vaincre les forces de la [offmap_china.GetShortName] menées par [offmap_china.Governor.Get_le_Title][offmap_china.Governor.GetTitledFirstName].\nLe Fils du Ciel est très mécontent de cette perte et, sous la pression de ses conseillers, n'a eu d'autre choix que d'ouvrir une fois de plus la route de la soie aux commerçants.;Nachdem [offmap_china.Ruler.GetLongChineseEmperorName] befohlen hat, die Grenzen zu schließen und den Handel auf der Seidenstraße zu stoppen, hat [From.GetTitledName] dies als inakzeptabel hingenommen und [From.GetHerHis]e Truppen mobilisiert, um die Seidenstraße mit Gewalt zu öffnen. Die [From.Culture.GetName]en Truppen konnten die Truppen von [offmap_china.GetShortName], angeführt von [offmap_china.Governor.GetTitledFirstName], besiegen.\nDer Sohn des Himmels ist sehr verärgert mit dieser Niederlage und, unter Druck seiner Berater, hat er keine andere Wahl als die Seidenstraße für Händler wieder zugänglich zu machen.;;Cuando [offmap_china.Ruler.GetLongChineseEmperorName] ordenó cerrar las fronteras y para el comercio de la Ruta de la Seda, [From.GetTitledName] lo juzgó inaceptable y movilizó sus tropas para abrir la Ruta de la Seda a la fuerza. El ejército [From.Culture.GetName] consiguió superar y derrotar a las tropas de [offmap_china.GetShortName] comandadas por [offmap_china.Governor.GetTitledFirstName].\nEl Hijo del Cielo está muy disgustado por esta derrota y, presionado por sus consejeros, no le queda más opción que abrir la Ruta de la Seda a los comerciantes.;;;;;;;;;x;;;;
EVTDESC_JD_60303;After [offmap_china.Ruler.GetLongChineseEmperorName], ordered that the borders be shut and trade along the Silk Road be halted, [From.GetTitledName] deemed that unacceptable and mobilized [From.GetHerHis] forces to open the Silk Road by force. However, the [From.Culture.GetName] troops were no match for the forces of [offmap_china.GetShortName] led by [offmap_china.Governor.GetTitledFirstName].\nThe Archon is most pleased with this victory and maintains the isolation of the [offmap_china.GetFullName].;Après que [offmap_china.Ruler.GetLongChineseEmperorName], a ordonné que les frontières soient fermées et que le commerce sur la Route de la Soie soit stoppé, [From.GetTitledName] a trouvé ceci inacceptable et mobilisé ses forces pour la rouvrir par la force. Cependant, les troupes [From.Culture.GetName]s n'étaient pas de taille contre les forces de la [offmap_china.GetShortName] menées par [offmap_china.Governor.Get_le_Title][offmap_china.Governor.GetTitledFirstName].\nLe Fils du Ciel est très content de cette victoire et maintient l'isolement de l'[offmap_china.GetFullName].;Nachdem [offmap_china.Ruler.GetLongChineseEmperorName] befohlen hat, die Grenzen zu schließen und den Handel auf der Seidenstraße zu stoppen, hat [From.GetTitledName] dies als inakzeptabel hingenommen und [From.GetHerHis]e Truppen mobilisiert, um die Seidenstraße mit Gewalt zu öffnen. Allerdings waren die [From.Culture.GetName]en Truppen kein Gegner für die Truppen von [offmap_china.GetShortName], die von [offmap_china.Governor.GetTitledFirstName] angeführt wurden.\nDer Sohn des Himmels ist entzückt über diesen Sieg und behält die Isolation von [offmap_china.GetFullName] weiter bei.;;Cuando [offmap_china.Ruler.GetLongChineseEmperorName] ordenó cerrar las fronteras y para el comercio de la Ruta de la Seda, [From.GetTitledName] lo juzgó inaceptable y movilizó sus tropas para abrir la Ruta de la Seda a la fuerza. Sin embargo, el ejército [From.Culture.GetName] no fueron rivales para las tropas de [offmap_china.GetShortName] comandadas por [offmap_china.Governor.GetTitledFirstName].\nEl Hijo del Cielo está encantado con esta victoria y mantiene el aislamiento del [offmap_china.Ruler.GetFullName].;;;;;;;;;x;;;;
china_forced_open_tt;Will NOT be able to change to the Isolationist Policy for §Y50§! years;Ne sera pas en mesure de passer à la politique isolationniste pendant §Y50§! années;Wird für §Y50§! Jahre NICHT in der Lage sein, zum Isolationismus zurückzukehren;;NO será capaz de cambiar la política aislacionista durante §Y50§! años;;;;;;;;;x;;;;
force_china_open_cooldown_tt;Has NOT attempted to force the §Y[offmap_china.GetFullName]§! open in the past §Y15§! years;N'a pas tenté d'imposer l'§Y[offmap_china.GetFullName]§! ouvert durant les §Y15§! dernières années;Hat §Y[offmap_china.GetFullName]§! in den letzten §Y15§! Jahren NICHT gezwungen sich zu öffnen;;NO ha intentado forzar la apertura de §Y[offmap_china.GetFullName]§! en los últimos §Y15§! Años;;;;;;;;;x;;;;
force_china_open_in_progress_tt;No other ruler is currently attempting to force §Y[offmap_china.GetShortName]§! open;Aucun autre dirigeant ne tente actuellement d'imposer l'ouverture à la §Y[offmap_china.GetShortName]§!;Es versucht momentan kein anderer Herrscher §Y[offmap_china.GetShortName]§! zu öffnen;;Ningún otro gobernante está intentando forzar la apertura de §Y[offmap_china.GetShortName]§!;;;;;;;;;x;;;;
will_return_to_china_tt;§Y[This.GetTitledName]§! will leave [This.GetHerHis] life at court and return home to the distant [offmap_china.GetFullName].;[This.Get_Le_Title]§Y[This.GetTitledName]§! abandonnera sa vie à la cour et retournera chez [This.GetLuiElle] dans l'[offmap_china.GetFullName].;§Y[This.GetTitledName]§! wird [This.GetHerHis] Hofleben beenden und in [This.GetHerHis]e entfernte Heimat [offmap_china.GetFullName] zurückkehren.;;§Y[This.GetTitledName]§! abandonará su vida en la corte y volverá a su casa en el lejano [offmap_china.GetFullName].;;;;;;;;;x;;;;
angered_china_modifier;Angered Valyria;Chine en colère;Verärgertes Freehold;;Freehold enfurecida;;;;;;;;;x;;;;
angered_china_modifier_desc;Valyria is most displeased with you...;La Chine est très en colère envers vous...;Freeholds ist sehr verärgert über Euch...;;Freehold está muy disgustada contigo…;;;;;;;;;x;;;;
force_china_open_cb_outcome_tt;If you are victorious then the §Y[offmap_china.GetFullName]§! will Open its borders and you will be §Gfavored in trade along the Silk Road§!. However, if you are defeated it will cost you §Rmonthly prestige and favor§!.;Si vous êtes victorieux, alors l'§Y[offmap_china.GetFullName]§! ouvrira ses frontières et vous serez §Gfavorisé dans le commerce le long de la Route de la Soie§!. Cependant, si vous êtes vaincu, cela vous coûtera §Rdu prestige et de la Grâce mensuels§!.;Wenn Ihr Siegreich seid, wird §Y[offmap_china.GetFullName]§! seine Grenzen öffnen und Ihr werdet §Gbeim Handel auf der Seidenstraße bevorzugt§!. Wenn Ihr allerdings verliert, kostet dies euch §Rmonatlich Prestige und Gunst§!.;;Si vences, §Y[offmap_china.GetFullName]§! abrirá sus fronteras y serás §Gfavorecido en el comercio de la Ruta de la Seda§!. Pero si eres derrotado, te costará §Rprestigio mensual y gracia§!.;;;;;;;;;x;;;;
china_imperial_marriage_peace_deal_tt;You will enter into a peace deal with the §Y[offmap_china.GetFullName]§!.;Vous conclurez un accord de paix avec l'§Y[offmap_china.GetFullName]§!.;Ihr schließt mit §Y[offmap_china.GetFullName]§! einen Friedenverstrag.;;Realizas un acuerdo de paz con §Y[offmap_china.GetFullName]§!.;;;;;;;;;x;;;;
china_imperial_marriage_peace_deal_effect_tt;This marriage will secure a peace deal during which the §Y[offmap_china.GetFullName]§! and its §Y[offmap_china.Governor.GetTitle]§! will not declare war on you. It will last for §Y50§! years or until the dynasty of the [offmap_china.Ruler.GetTitle], [offmap_china.Ruler.GetOnlyDynastyName], ends.;Ce mariage assurera un accord de paix pendant lequel l'§Y[offmap_china.GetFullName]§! et son §Y[offmap_china.Governor.GetTitle]§! ne vous déclareront pas la guerre. Il durera §Y50 ans§! ou jusqu'à ce que la dynastie de l'[offmap_china.Ruler.GetTitle], [offmap_china.Ruler.GetOnlyDynastyName], s'effondre.;Diese Ehe wird ein Friedensabkommen sicher, in dem Euch §Y[offmap_china.GetFullName]§! und seine §Y[offmap_china.Governor.GetTitle]§! keine Kriege erklären werden. Dies dauert §Y50§! Jahre an oder bis die Dynastie [offmap_china.Ruler.GetOnlyDynastyName] von [offmap_china.Ruler.GetTitle] endet.;;Este matrimonio garantizará un acuerdo de paz durante el cual el §Y[offmap_china.GetFullName]§! y su §Y[offmap_china.Governor.GetTitle]§! no te declararán la guerra. Durará §Y50§! años o hasta que termine la dinastía [offmap_china.Ruler.GetOnlyDynastyName] del [offmap_china.Ruler.GetTitle].;;;;;;;;;x;;;;
china_tributary_break_free;Free Tributary;Tributaire libre;Tributstatus auflösen;;Tributario liberado;;;;;;;;;x;;;;
china_tributary_break_free_desc;You can declare war against the §Y[offmap_china.GetFullName]§! to free yourself from your status as an §YImperial Tributary§!. If §Y[offmap_china.GetShortName]§! is currently suffering from an §Rinvasion§! or a §Rcivil war§! then you can free yourself via a §Ydecision§! in the intrigue screen.;Vous pouvez déclarer une guerre à l'§Y[offmap_china.GetFullName]§! pour vous libérer de votre statut de tributaire impérial. Si la §Y[offmap_china.GetShortName]§! subit actuellement une §Rinvasion§! ou une §Rguerre civile§!, alors vous pouvez prendre la décision de vous libérer.;Ihr könnt §Y[offmap_china.GetFullName]§! den Krieg erklären, um Euch selbst vom Status eines §Ykaiserlichen Tributstaates§! zu befreien. Wenn §Y[offmap_china.GetShortName]§! momentan an einer §RInvasion§! oder einem §RBürgerkrieg§! leidet, könnt ihr Euch per §YEntscheidung§! befreien.;;Puedes declarar la guerra al §Y[offmap_china.GetFullName]§! para liberarte de tu estatus como §Ytributario imperial§!. Si §Y[offmap_china.GetShortName]§! ya está sufriendo una §Rinvasión§! o una §Rguerra civil§!, entonces puede liberarte con una §Ydecisión§! en la pantalla de intriga.;;;;;;;;;x;;;;
china_imperial_trade_contract_desc;The traders in these lands are enjoying the profits of a beneficial trade agreement.;Les marchands dans ces terres bénéficient d'un accord commercial avantageux.;Die Händler dieser Region genießen die Vorzüge einer vorteilhaften Handelsvereinbarung.;;Los comerciantes de estas tierras se aprovechan de un acuerdo comercial beneficioso.;;;;;;;;;x;;;;
china_favored_in_trade;Favored on the Silk Road;Favorisés sur la route de la soie;Auf der Seidenstraße begünstigt;;Favorecido en la Ruta de la Seda;;;;;;;;;x;;;;
china_favored_in_trade_desc;Thanks to their liege taking control of the Silk Road, the traders in these lands are enjoying the profits of being favored in all trade deals.;Grâce à leur seigneur lige qui a pris le contrôle de la route de la soie, les commerçants de ces terres sont favorisés dans tous les accords commerciaux.;Dank ihrem Lehnsherr, der die Kontrolle über die Seidenstraße übernommen hat, genießen die Händler in diesen Ländern die Gewinne, die erzielt werden, weil sie bei allen Handeln bevorzugt werden.;;Como su señor se hizo con el control de la Ruta de la Seda, los comerciantes de estas tierras se benefician de ser favorecidos en todos los acuerdos comerciales;;;;;;;;;x;;;;
invasion_of_china_cb_desc;The [offmap_china.GetFullName] has been a thorn in our side long enough - no more!;L'[offmap_china.GetFullName] est un problème depuis trop longtemps !;[offmap_china.GetFullName] war uns zu lange ein Dorn im Auge!;;El [offmap_china.GetFullName] había sido un incordio durante mucho tiempo, ¡pero se acabó!;;;;;;;;;x;;;;
CB_NAME_INVASION_OF_CHINA;Invasion of [offmap_china.GetShortName];Invasion de la [offmap_china.GetShortName];Invasion von [offmap_china.GetShortName];;Invasión de §Y[offmap_china.GetShortName]§!;;;;;;;;;x;;;;
WAR_NAME_INVASION_OF_CHINA;The $ORDER$$FIRST_ADJ$ Invasion of the [offmap_china.GetFullName];$ORDER$Invasion $FIRST_ADJ$ de l'[offmap_china.GetFullName];$ORDER$$FIRST_ADJ$e Invasion von [offmap_china.GetFullName];;La $ORDER$ invasión $FIRST_ADJ$ del [offmap_china.GetFullName];;;;;;;;;x;;;;
china_invade_dragon_throne_failed_tt;Has NOT failed an invasion of Valyria;N'a pas échoué dans une invasion de la Chine;Hat KEINE Invasion auf Freehold verloren;;NO fracasó al invadir Freehold;;;;;;;;;x;;;;
china_invade_dragon_throne_modifiers_tt;All of your current §Y[offmap_china.GetCurrency]§! and §Ymodifiers§! from §Y[offmap_china.GetShortName]§! will be §Rremoved§!.;Vous §Rperdrez§! votre §Y[offmap_china.GetCurrency]§! en entier et les §Ymodificateurs§! de la §Y[offmap_china.GetShortName]§!;Alle Eurer momentanen §Y[offmap_china.GetCurrency]§! und §YModifikatoren§! von §Y[offmap_china.GetShortName]§! werden §Rentfernt§!.;;Se te retiran todos tus §Y[offmap_china.GetCurrency]§! y §Ymodificadores§! de §Y[offmap_china.GetShortName]§!.;;;;;;;;;x;;;;
war_with_china_modifier;War With Valyria;Guerre avec la Chine;Krieg mit Freehold;;Guerra con Freehold;;;;;;;;;x;;;;
war_with_china_modifier_desc;You have sent vast numbers of your troops East to attack the Valyrian heartland.;Vous avez envoyé un grand nombre de vos troupes à l'Est pour attaquer le centre chinois.;Ihr habt eine Großzahl Eurer Truppen ostwärts ins chinesische Hinterland geschickt.;;Has enviado un gran número de tus tropas a atacar el corazón de Freehold.;;;;;;;;;x;;;;
failed_invasion_of_china;Failed Invasion of Valyria;Invasion échouée de la Chine;Invasion auf Freehold fehlgeschlagen;;Invasión fracasada de Freehold;;;;;;;;;x;;;;
china_offmap_decisions_failed_invasion_tt;Has NOT failed an invasion of the §Y[offmap_china.GetFullName]§!;N'a pas échoué dans une invasion de l'§Y[offmap_china.GetFullName]§!;Hat KEINE Invasion auf §Y[offmap_china.GetFullName]§! verloren;;Su invasión de §Y[offmap_china.GetFullName]§! NO ha fracasado;;;;;;;;;x;;;;
invasion_of_china_cb_fail_tt;You will NOT be able to interact with the §Y[offmap_china.GetFullName]§!;Vous ne serez pas capable d'interagir avec l'§Y[offmap_china.GetFullName]§!;Ihr werdet NICHT in der Lage sein, mit §Y[offmap_china.GetFullName]§! zu interagieren;;NO podrás interactuar con el §Y[offmap_china.GetFullName]§!;;;;;;;;;x;;;;
china_invade_dragon_throne_levies_tt;Has NOT raised any vassal levies;N'a pas mobilisé de levées vassales;Hat KEIN Aufgebot der Vasallen ausgehoben;;NO ha reclutado levas de vasallos;;;;;;;;;x;;;;
china_invade_dragon_throne_war_tt;Is NOT currently being invaded;N'est pas actuellement envahi;Steht momentan KEINER Invasion gegenüber;;NO está siendo invadido;;;;;;;;;x;;;;
invasion_of_china_success_tt;Your [invasion_of_china_claimant.GetRootRelation], §Y[invasion_of_china_claimant.GetBestName]§!, will become the new §Y[invasion_of_china_claimant.GetEmperorEmpress] of Valyria§!. Any of their immediate family, who are not landed or the primary heir to a title, will join them in the Freehold.\nAny land held by the Viceroy will be transfered to you.;Votre [invasion_of_china_claimant.GetRootRelation], [invasion_of_china_claimant.Get_le_Title]§Y[invasion_of_china_claimant.GetBestName]§!, deviendra [invasion_of_china_claimant.GetLeLa] nouve[invasion_of_china_claimant.GetLLle] §Y[invasion_of_china_claimant.GetEmperorEmpress] de Chine§!. Tout membre de sa famille qui n'a pas de terres et qui n'est pas héritier principal d'un titre, [invasion_of_china_claimant.GetLeLa] rejoindra dans l'Freehold du Milieu.\nToute terre détenue par le Protectorat des Régions de l'Ouest vous sera transférée.;[invasion_of_china_claimant.GetEuerEure] [invasion_of_china_claimant.GetRootRelation], §Y[invasion_of_china_claimant.GetBestName]§!, wird [invasion_of_china_claimant.Getderdie] neue §Y[invasion_of_china_claimant.GetEmperorEmpress] von Freehold§! werden. Jeder der unmittelbaren Familie, die kein Besitz hat oder primärer Erbe eines Titels ist, wird ins Mittlere Königreich beordert werden.\nAlles Land, das vom westlichen Protektorat gehalten wird, wird an Euch übergeben.;;Tu [invasion_of_china_claimant.GetRootRelation], §Y[invasion_of_china_claimant.GetBestName]§!, se convertirá en §Y[invasion_of_china_claimant.GetEmperorEmpress] de Freehold§!. Todos sus familiares sin tierras o herederos primarios irán a su lado en el Reino Central.\nSe te transferirán todas las tierras poseídas en el protectorado occidental.;;;;;;;;;x;;;;
OFFMAP_HOSTILE_DESC;You can take certain hostile actions against the [offmap_china.GetFullName] but be wary as the [offmap_china.Ruler.GetEmperorEmpress] is unlikely to tolerate such behavior. Taking Hostile Actions will likely §RAnger Valyria§!.;Vous pouvez entreprendre certaines actions hostiles contre l'[offmap_china.GetFullName], mais soyez prudent car l'[offmap_china.Ruler.GetEmperorEmpress] est peu susceptible de tolérer un tel comportement. Prendre des mesures hostiles contrariera probablement la Chine.;Ihr könnt gegen [offmap_china.GetFullName] verschiedene feindliche Aktionen durchführen, aber seid gewarnt, denn [offmap_china.Ruler.Getderdie] [offmap_china.Ruler.GetEmperorEmpress] wird solch ein Verhalten gewiss nicht tolerieren. Die Durchführung von feindlichen Aktionen wird §RFreehold verärgern§!.;;Puedes realizar ciertas acciones hostiles contra el [offmap_china.GetFullName], pero cuidado, pues es improbable que el /la [offmap_china.Ruler.GetEmperorEmpress] tolere semejante comportamiento. Realizar acciones hostiles probablemente §REnfurezca a Freehold§!.;;;;;;;;;x;;;;
EVT_OPTA_JD_60400;The Freehold shall belong to House [Root.GetOnlyDynastyName]!;L'Freehold du Milieu appartiendra à la Maison [Root.GetOnlyDynastyName]!;Das Mittlere Königreich gehört Haus [Root.GetOnlyDynastyName]!;;¡El Reino Central pertenecerá a la Casa de [Root.GetOnlyDynastyName]!;;;;;;;;;x;;;;
EVTDESC_JD_60401;The forces of [From.GetBestName] have prevailed! With the troops of [FromFrom.GetTitledFirstName] shattered and the conflicts in the Freehold finally over, the former [offmap_china.PrevRuler.GetEmperorEmpress], [offmap_china.PrevRuler.GetOnlyDynastyName] [offmap_china.PrevRuler.GetBirthName], has been dethroned and in [offmap_china.PrevRuler.GetHerHis] place [offmap_china.Ruler.GetLongChineseEmperorName], now rules!\nHouse [From.GetOnlyDynastyName] has successfully invaded the Eastern lands and now they reign supreme.\nGlory to the new [offmap_china.Ruler.GetEmperorEmpress]!;Les forces [From.Get_du_Title][From.GetBestName] l'ont emporté ! Les troupes [FromFrom.Get_du_Title][FromFrom.GetTitledFirstName] défaites et les conflits dans l'Freehold du Milieu finalement terminés, l'ancie[offmap_china.PrevRuler.GetNNne] [offmap_china.PrevRuler.GetEmperorEmpress], [offmap_china.PrevRuler.GetOnlyDynastyName] [offmap_china.PrevRuler.GetBirthName] a été détrôné et [offmap_china.Ruler.GetLongChineseEmperorName] règne à sa place\nLa Maison [From.GetOnlyDynastyName] a réussi à envahir les terres de l'Est et maintenant elle règne en maître.\nGloire [offmap_china.Ruler.GetAuAla] nouve[offmap_china.Ruler.GetLLle] [offmap_china.Ruler.GetEmperorEmpress] !;Die Truppen von [From.GetBestName] haben sich durchgesetzt! Die Truppen von [FromFrom.GetTitledFirstName] wurden zerschlagen und der Konflikt im Mittleren Königreich ist endlich vorüber. [offmap_china.PrevRuler.GetDerDie] ehemalige  [offmap_china.PrevRuler.GetEmperorEmpress], [offmap_china.PrevRuler.GetOnlyDynastyName] [offmap_china.PrevRuler.GetBirthName] wurde entthront und stattdessen herrscht nun [offmap_china.Ruler.GetLongChineseEmperorName]!\nHaus [From.GetOnlyDynastyName] ist erfolgreich in die östlichen Lande eingedrungen und hat nun die absolute Herrschaft als neue[offmap_china.Ruler.GetrMale] [offmap_china.Ruler.GetEmperorEmpress].;;¡Las fuerzas de [From.GetBestName] han triunfado! Con las tropas de [FromFrom.GetTitledFirstName] destrozadas y el fin de los combates en el Reino Central, se ha destronado al/ a la anterior [offmap_china.PrevRuler.GetEmperorEmpress], [offmap_china.PrevRuler.GetOnlyDynastyName] [offmap_china.PrevRuler.GetBirthName], ¡y ahora [offmap_china.Ruler.GetLongChineseEmperorName] gobierna en su lugar!\nLa Casa de [From.GetOnlyDynastyName] ha conseguido invadir las tierras orientales y ahora reinan sin discusión.\n¡Gloria al nuevo/a la nueva [offmap_china.Ruler.GetEmperorEmpress]!;;;;;;;;;x;;;;
china_tribute_send_eunuch_stats_tt;Has an attribute greater than or equal to §Y20§!;A une compétence plus grande ou égale à §Y20§!;Hat eine Meinung von §Y20§! oder höher;;Tiene un atributo mayor o igual de §Y20§!;;;;;;;;;x;;;;
china_tribute_send_eunuch_congenital_tt;Has a §Ypositive§! congenital trait;A un trait congénital positif;Hat eine §Ypositive§! angeborene Eigenschaft;;Tiene un rasgo congénito §Ypositivo§!;;;;;;;;;x;;;;
china_tribute_send_eunuch_non_inherit_congenital_tt;Has a §Ypositive§! non-inheritable congenital trait;A un trait congénital positif non héritable;Hat eine §Ypositive§!, nicht-erbbare, angeborene Eigenschaft;;Tiene un rasgo congénito no heredable §Ypositivo§!;;;;;;;;;x;;;;
china_tribute_send_eunuch_gift_tt;Is a eunuch that was gifted to you;Est un eunuque qui vous a été offert;Ist ein Eunuch, der Euch Geschenkt wurde;;es un eunuco que te regalaron;;;;;;;;;x;;;;
courtier_from_china_trigger_tt;Is a courtier from Valyria;Est un courtisan de Chine;Ist ein Höfling aus Freehold;;viene de la corte de Freehold;;;;;;;;;x;;;;
china_tribute_send_concubine_preference_tt;Is desired by the §Y[offmap_china.Ruler.GetEmperorEmpress]§!;Est désiré par l'§Y[offmap_china.Ruler.GetEmperorEmpress]§!;Wird von [offmap_china.Ruler.Getdemder] §Y[offmap_china.Ruler.GetEmperorEmpress]§! gewünscht;;Lo desea el/la §Y[offmap_china.Ruler.GetEmperorEmpress]§!;;;;;;;;;x;;;;
send_artifact_potential_tt;Is a high quality artifact (that is NOT cursed or from Valyria);Est un artefact de haute qualité (qui n'est pas maudit ni ne vient de Chine);Ist ein hochwertiges Artefakt (das NICHT verflucht oder aus Freehold ist);;Es un artefacto de gran calidad (NO maldito ni de Freehold);;;;;;;;;x;;;;
china_request_invasion_rel_head_tt;Does NOT hold a religious head title that is higher tier than §YDuke§!;Ne détient pas un titre de chef religieux qui est plus haut que §Yduc§!;Hält KEINEN religiösen Titel, der höher als der eines §YHerzogs§! ist;;NO tiene ningún título religioso principal de mayor rango que §Yduque§!;;;;;;;;;x;;;;
china_request_invasion_defeated_china_tt;Has NOT defeated Valyria in a war;N'a pas défait la Chine dans une guerre;Hat Freehold NICHT in einem Krieg besiegt;;NO derrotó a Freehold en guerra;;;;;;;;;x;;;;
china_invade_dragon_throne_eastern_edge_tt;Borders the Eastern Edge of the map;Jouxte la bordure orientale de la carte;Grenzt an den östlichen Rand der Karte an;;Limita con el borde oriental del mapa;;;;;;;;;x;;;;
china_raid;Raid the [offmap_china.GetFullName];Piller l'[offmap_china.GetFullName];[offmap_china.GetFullName] überfallen;;Asalta el [offmap_china.GetFullName];;;;;;;;;x;;;;
china_raid_desc;The §Y[Root.Offmap.GetFullName]§! is overburdened with riches - why should we vie for the Archon's grace when we could just take whatever we want!\n\nTaking this decision will temporarily §Rdisable§! all §YPay Tribute§! and §YAsk for Boon§! interactions for as long as the raid persists, and then five years after that. While Raiding Valyria you will lose Favor but gain loot and spoils every year, a portion of your soldiers will also be unavailable for the duration of the raid.;L'§Y[Root.Offmap.GetFullName]§! a trop de richesses - pourquoi devrions-nous lutter pour obtenir la grâce de l'Empereur alors que nous pourrions simplement prendre ce que nous voulons !\n\nCette décision désactiverait les interactions '§YPayer un tribut§!' et '§YDemander une faveur§!' tant que les pillages persistent, puis pendant cinq ans. Piller la Chine vous ferait perdre de la Grâce, et une partie de vos troupes serait indisponible, mais vous gagneriez du butin chaque année.;§Y[Root.Offmap.GetFullName]§! ist mit seinem Reichtum überlastet. Warum sollten wir um die Gunst des Kaisers wetteifern, wenn wir einfach alles nehmen können, was wir wollen.\n\nDas Annehmen dieser Entscheidung §Rdeaktiviert§! solange der Überfall stattfindet und 5 Jahre danach §YTribut zahlen§! und §YNach Gefallen fragen§!. Während dem Überfall auf Freehold verliert ihr jährlich Gunst, erhaltet aber Beute. Außerdem ist ein Teil Eurer Soldaten für die Dauer des Überfalls nicht verfügbar.;;El §Y[Root.Offmap.GetFullName]§! está cargado de riquezas. ¿Por qué competir por la gracia del emperador si podemos coger todo lo que queramos?\n\nTomar esta decisión §Rdesactivará§! temporalmente todas las interacciones §YPagar tributo§! y §YPedir regalo§! mientras dure el asalto, y cinco años después. Perderás gracia mientras asaltes Freehold, pero ganarás botín cada año y una parte de tus soldados no estará disponible mientras dure la incursión.;;;;;;;;;x;;;;
china_raid_active;Raiding Valyria;Pille la Chine;Überfällt Freehold;;Asaltando Freehold;;;;;;;;;x;;;;
china_raid_active_desc;This character is currently sending raiding parties to cross the border to Valyria, angering the Archon but bringing home a steady stream of loot each year.;Ce personnage envoie actuellement des troupes piller la Chine, contrariant l'Empereur mais octroyant un flux régulier de butin chaque année.;Dieser Charakter entsendet derzeit Überfall-Truppen hinter die Grenzen Freeholds, was zwar den Kaiser verärgert, aber jedes Jahr einen konstanten Strom von Beute beschert.;;Este personaje envía todos los años grupos de asaltantes a cruzar la frontera con Freehold, enfureciendo al emperador, pero trayendo a casa un flujo constante de botín.;;;;;;;;;x;;;;
